"Note_Id"	"Prompt"	"Prompt_Raw"	"SAS_Show_Prompt"	"SAS_Prompt"	"SAS_Prompt_Raw"	"SAS1"	"SAS1_Raw"	"SAS2"	"SAS2_Raw"	"SAS_Refs"	"SAS_Refs_Raw"	"SAS_Cat"	"R_Prompt"	"R_Prompt_Raw"	"R1"	"R1_Raw"	"R2"	"R2_Raw"	"R_Cat"	"R_vs_SAS"	"R_vs_SAS_Raw"	"Tags"
"DS244314"	"Calculate the number of months between two dates. Return the count based on counting anniversaries."	"Calculate the number of months between two dates. Return the count based on counting anniversaries."	"Y"	""	""	"<font class=dscode>INTCK(&apos;MONTH&apos;, dt1, dt2, &apos;C&apos;);</font>"	"`INTCK('MONTH', dt1, dt2, 'C');`"	"The same function can be used with an additional parameter &apos;D&apos; or &apos;DISC&apos; or &apos;DISCRETE&apos; to count month boundaries passed. The default value of the parameter (used here) is &apos;C&apos; or &apos;CONT&apos; or &apos;CONTINUOUS&apos;."	"The same function can be used with an additional parameter 'D' or 'DISC' or 'DISCRETE' to count month boundaries passed. The default value of the parameter (used here) is 'C' or 'CONT' or 'CONTINUOUS'."	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS248093"	"Does array-indexing start with 0 or 1?"	"Does array-indexing start with 0 or 1?"	"Y"	""	""	"Default is 1, but can be changed."	"Default is 1, but can be changed."	""	""	""	""	"base"	""	""	"Starts at 1."	"Starts at 1."	"†<font class=dscode>x[0]</font> returns a zero-length vector."	"†`x[0]` returns a zero-length vector."	"base"	""	""	"R_include SAS_include R_base SAS_base"
"DS254147"	"Create new data set with records from data set x that match a record in data set y."	"Create new data set with records from data set x that match a record in data set y."	""	"Create new data set with records from <font class=dscode>set1</font> that match a record in <font class=dscode>set2</font>."	"Create new data set with records from `set1` that match a record in `set2`."	"<font class=dscode>DATA set3;</font><br><font class=dscode>  MERGE set1 (in=a) set2 (in=b);</font><br><font class=dscode>  BY patid;</font><br><font class=dscode>  IF a AND b;</font><br><font class=dscode>RUN;</font>"	"`DATA set3;`
`  MERGE set1 (in=a) set2 (in=b);`
`  BY patid;`
`  IF a AND b;`
`RUN;`"	""	""	""	""	"base"	"(dplyr)"	"(dplyr)"	"<font class=dscode>x %&gt;% semi_join(y)</font>"	"`x %>% semi_join(y)`"	""	""	"tidy"	""	""	"R_include SAS_include R_tidy SAS_base"
"DS254903"	"Give syntax for a logical scalar."	"Give syntax for a logical scalar."	""	"How are boolean values represented?"	"How are boolean values represented?"	"As numbers, 0 for false and 1 for true.<br><br>†The missing value (.) evaluates to false. All other numbers (except 0 mentioned above) evaluate to true."	"As numbers, 0 for false and 1 for true.

†The missing value (.) evaluates to false. All other numbers (except 0 mentioned above) evaluate to true."	""	""	""	""	"base"	""	""	"<font class=dscode>TRUE</font>, <font class=dscode>FALSE</font><br><br><font class=dscode>T</font>, <font class=dscode>F</font> are global variables initially set to the above, but can be reassigned!"	"`TRUE`, `FALSE`

`T`, `F` are global variables initially set to the above, but can be reassigned!"	""	""	"base"	""	""	"R_include SAS_include R_base SAS_base"
"DS265960"	"When a variable is created by assignment, what attributes is it given?"	"When a variable is created by assignment, what attributes is it given?"	"Y"	"Give answers for:<br>(1) <font class=dscode>x = 5;</font><br>(2) <font class=dscode>x = y;</font><br>(3) <font class=dscode>x = &apos;cat&apos;;</font><br>(4) <font class=dscode>x = y || z;</font>"	"Give answers for:
(1) `x = 5;`
(2) `x = y;`
(3) `x = 'cat';`
(4) `x = y || z;`"	"(1) Default numeric length (8, unless overridden with LENGTH statement)<br>(2) If <font class=dscode>y</font> is numeric, <font class=dscode>x</font> is numeric with default length. If <font class=dscode>y</font> is character, <font class=dscode>x</font> copies its length.<br>(3) <font class=dscode>x</font> is character with length 3<br>(4) <font class=dscode>x</font> is character with length = sum of variable lengths of <font class=dscode>y</font> and <font class=dscode>z</font>.<br><br>TBD: for other possibilities with character variables, need to test. Generally for others, the language takes the length from first observation. I don&apos;t remember what this means if the right side is <font class=dscode>SUBSTR(x, 1, 5)</font>, x has variable length 10, but the first observation is &apos;ABC&apos;. In any case, explicitly assigning the length is good practice for character variables."	"(1) Default numeric length (8, unless overridden with LENGTH statement)
(2) If `y` is numeric, `x` is numeric with default length. If `y` is character, `x` copies its length.
(3) `x` is character with length 3
(4) `x` is character with length = sum of variable lengths of `y` and `z`.

TBD: for other possibilities with character variables, need to test. Generally for others, the language takes the length from first observation. I don't remember what this means if the right side is `SUBSTR(x, 1, 5)`, x has variable length 10, but the first observation is 'ABC'. In any case, explicitly assigning the length is good practice for character variables."	""	""	""	""	"base"	""	""	""	""	""	""	"XS"	""	""	"SAS_include R_XS SAS_base"
"DS266655"	"Give PROC for defining a ______ (which is used to define [potentially] different value for display for each value of a variable)."	"Give PROC for defining a ______ (which is used to define [potentially] different value for display for each value of a variable)."	"Y"	"Give syntax for the mapping:<br>(-infinity, 0) = &apos;low&apos;<br>[0-10) = &apos;medium&apos;<br>[10-infinity) = &apos;high&apos;, <br>missing = &apos;missing&apos;"	"Give syntax for the mapping:
(-infinity, 0) = 'low'
[0-10) = 'medium'
[10-infinity) = 'high', 
missing = 'missing'"	"<font class=dscode>PROC FORMAT;</font><br><font class=dscode>  VALUE fmtname</font><br><font class=dscode>    low-&lt;0 = &apos;low&apos;</font><br><font class=dscode>    0-&lt;10 = &apos;medium&apos;</font><br><font class=dscode>    10-high = &apos;high&apos;</font><br><font class=dscode>    . = &apos;missing&apos;;</font>   (or: <font class=dscode>other = &apos;missing&apos;</font>)<br><font class=dscode>RUN;</font><br><br>When referring to the format later, <font class=dscode>.</font> must be used, but it must not be included in <font class=dscode>fmtname</font> above."	"`PROC FORMAT;`
`  VALUE fmtname`
`    low-<0 = 'low'`
`    0-<10 = 'medium'`
`    10-high = 'high'`
`    . = 'missing';`   (or: `other = 'missing'`)
`RUN;`

When referring to the format later, `.` must be used, but it must not be included in `fmtname` above."	""	""	""	""	"base"	""	""	""	""	""	""	"XS"	""	""	"SAS_include R_XS SAS_base"
"DS267289"	"Give the integer division operator."	"Give the integer division operator."	"Y"	""	""	"No built-in operator. Use division and the FLOOR or CEILING functions, as appropriate."	"No built-in operator. Use division and the FLOOR or CEILING functions, as appropriate."	""	""	""	""	"base"	""	""	"<font class=dscode>%/%</font>"	"`%/%`"	""	""	"base"	""	""	"R_include SAS_include R_base SAS_base"
"DS270643"	"Generate random values."	"Generate random values."	"Y"	""	""	"<font class=dscode>ran01 = RANUNI(seed);</font><br><br><font class=dscode>CALL RANUNI(seed, ran01)</font> - for greater control of seed and random number streams"	"`ran01 = RANUNI(seed);`

`CALL RANUNI(seed, ran01)` - for greater control of seed and random number streams"	""	""	""	""	"stat"	""	""	"<font class=dscode>rxxxx(n, ...)</font>, where <font class=dscode>n</font> is the length of the vector to generate, and <font class=dscode>xxxx</font> is the distribution. There may be additional parameters specific to the distribution. Use <font class=dscode>set.seed(seed)</font> to seed the random number generator, if desired.<br><br><font class=dscode>runif(10)  # generate 10 Uniform(0,1) r.v’s</font><br><font class=dscode>runif(10, min=3, max=5) # generate 10 Uniform(3,5) r.v.’s</font>"	"`rxxxx(n, ...)`, where `n` is the length of the vector to generate, and `xxxx` is the distribution. There may be additional parameters specific to the distribution. Use `set.seed(seed)` to seed the random number generator, if desired.

`runif(10)  # generate 10 Uniform(0,1) r.v’s`
`runif(10, min=3, max=5) # generate 10 Uniform(3,5) r.v.’s`"	"<font class=dscode>runif</font>, <font class=dscode>rpois</font>, <font class=dscode>rnorm</font>, <font class=dscode>rchisq</font>, <font class=dscode>rgamma</font>, <font class=dscode>rbinom</font>, etc. From testing, invalid inputs give warning about NA’s being produced (although sometimes it is a vector of NaNs instead [<font class=dscode>runif</font>, <font class=dscode>rnorm</font>])."	"`runif`, `rpois`, `rnorm`, `rchisq`, `rgamma`, `rbinom`, etc. From testing, invalid inputs give warning about NA’s being produced (although sometimes it is a vector of NaNs instead [`runif`, `rnorm`])."	"stat"	""	""	"R_include SAS_include R_stat SAS_stat"
"DS270688"	"Return the Cartesian product of two data sets."	"Return the Cartesian product of two data sets."	"Y"	""	""	"Use PROC SQL.<br><br>In particular, do not use a usual MERGE statement without the BY option. This simply adds the fields on the nth observation of the second set to the nth observation of the first set.<br>Since omitting the BY statement may give counter-intuitive results, I generally think it more sensible to change the system option to <font class=dscode>MERGENOBY=WARN</font> or <font class=dscode>MERGENOBY=ERROR</font>."	"Use PROC SQL.

In particular, do not use a usual MERGE statement without the BY option. This simply adds the fields on the nth observation of the second set to the nth observation of the first set.
Since omitting the BY statement may give counter-intuitive results, I generally think it more sensible to change the system option to `MERGENOBY=WARN` or `MERGENOBY=ERROR`."	""	""	""	""	"base"	"(base)"	"(base)"	"<font class=dscode>merge(df1, df2, by=NULL)</font>"	"`merge(df1, df2, by=NULL)`"	""	""	"base"	""	""	"R_include SAS_include R_base SAS_base"
"DS272234"	"Mixed effect model"	"Mixed effect model"	"Y"	"Give relevant PROC(s)."	"Give relevant PROC(s)."	"PROC MIXED (for normal link)<br><br>PROC GLIMMIX for generalized linear mixed models (binary, count, etc. outcomes)"	"PROC MIXED (for normal link)

PROC GLIMMIX for generalized linear mixed models (binary, count, etc. outcomes)"	""	""	""	""	"stat"	""	""	""	""	""	""	"stat"	""	""	"SAS_include R_stat SAS_stat"
"DS273922"	"Comment out a large block of code that might also contain comments."	"Comment out a large block of code that might also contain comments."	"Y"	""	""	"A useful trick is to enclose in a macro.<br><font class=dscode>%MACRO comment_out();</font><br><font class=dscode>...</font><br><font class=dscode>%MEND comment_out;</font>"	"A useful trick is to enclose in a macro.
`%MACRO comment_out();`
`...`
`%MEND comment_out;`"	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS274795"	"Delete an object from the environment."	"Delete an object from the environment."	""	"Delete a data set."	"Delete a data set."	"<font class=dscode>PROC DATASETS NOLIST;</font><br><font class=dscode>  DELETE set1;</font><br><font class=dscode>RUN; QUIT;</font><br>Can also specify library in LIB option for data sets not in WORK.<br><br><font class=dscode>PROC DELETE DATA=set1; RUN;</font><br>A more recent PROC. Faster than PROC DATASETS."	"`PROC DATASETS NOLIST;`
`  DELETE set1;`
`RUN; QUIT;`
Can also specify library in LIB option for data sets not in WORK.

`PROC DELETE DATA=set1; RUN;`
A more recent PROC. Faster than PROC DATASETS."	""	""	""	""	"base"	""	""	""	""	""	""	"base_low"	""	""	"SAS_include R_base_low SAS_base"
"DS277739"	"Determine the length of a vector."	"Determine the length of a vector."	"Y"	""	""	""	""	""	""	""	""	"XX"	""	""	"<font class=dscode>length(v)</font>"	"`length(v)`"	""	""	"base"	""	""	"R_include R_base SAS_XX"
"DS277758"	"Select numeric variables."	"Select numeric variables."	"Y"	"Also give keyword for character variables."	"Also give keyword for character variables."	"<font class=dscode>KEEP _numeric_;  /* all numeric variables*/</font><br><font class=dscode>KEEP _character_;  /* all character variables*/</font>"	"`KEEP _numeric_;  /* all numeric variables*/`
`KEEP _character_;  /* all character variables*/`"	""	""	""	""	"base"	"(tidy-select)"	"(tidy-select)"	"<font class=dscode>where(is.numeric)</font>"	"`where(is.numeric)`"	"Any predicate function can be used. Recall a predicate function returns TRUE/FALSE. So, <font class=dscode>where(is.factor)</font>, etc."	"Any predicate function can be used. Recall a predicate function returns TRUE/FALSE. So, `where(is.factor)`, etc."	"tidy"	""	""	"R_include SAS_include R_tidy SAS_base"
"DS284589"	"Create a date constant (e.g., July 1, 1980)."	"Create a date constant (e.g., July 1, 1980)."	"Y"	""	""	"<font class=dscode>&apos;01JUL1980&apos;d</font>, <font class=dscode>&quot;01JUL1980&quot;d</font>"	"`'01JUL1980'd`, `""01JUL1980""d`"	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS284664"	"Create a new string by repeating the input string."	"Create a new string by repeating the input string."	"Y"	"Create string of 60 &apos;*&apos;s."	"Create string of 60 '*'s."	"<font class=dscode>REPEAT(&apos;*&apos;,59)</font><br><br><font class=dscode>REPEAT(source, n)</font><br>source is in result (n+1) times"	"`REPEAT('*',59)`

`REPEAT(source, n)`
source is in result (n+1) times"	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS284768"	"Suppose you have a mapping table in a data set. Give a way to map values in a data set to their results using this table."	"Suppose you have a mapping table in a data set. Give a way to map values in a data set to their results using this table."	"Y"	"Don&apos;t use a MERGE statement or PROC SQL.<br><br>What if, instead of having a data set, you have an existing format that you want to (programmatically) modify slightly."	"Don't use a MERGE statement or PROC SQL.

What if, instead of having a data set, you have an existing format that you want to (programmatically) modify slightly."	"Turn the data set into a format using <font class=dscode>PROC FORMAT</font> and then apply the format using <font class=dscode>mapped_val = PUT(var_to_map, newfmt.);</font> (or <font class=dscode>$newfmt.</font> if needed).<br><br>If you are starting with a format instead of a dataset, one can output a data set with information for all formats in the catalog, select the desired format, modify the data set as desired, and create a new format."	"Turn the data set into a format using `PROC FORMAT` and then apply the format using `mapped_val = PUT(var_to_map, newfmt.);` (or `$newfmt.` if needed).

If you are starting with a format instead of a dataset, one can output a data set with information for all formats in the catalog, select the desired format, modify the data set as desired, and create a new format."	"°The relevant parameter is <font class=dscode>PROC FORMAT CNTLIN=my_set;</font>. The key variables on this set are <font class=dscode>fmtname</font>, <font class=dscode>start</font>, and <font class=dscode>label</font>. One might also need <font class=dscode>end</font> or additional variables."	"°The relevant parameter is `PROC FORMAT CNTLIN=my_set;`. The key variables on this set are `fmtname`, `start`, and `label`. One might also need `end` or additional variables."	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS284844"	"Merging data sets where same output field is selected from both."	"Merging data sets where same output field is selected from both."	"Y"	""	""	"No equivalent to R <font class=dscode>suffixes</font> option. Can use RENAME data set option to rename problematic variable when read in. Seems like good practice to run with option <font class=dscode>MSGLEVEL=I</font>. This will generate an informational message if overwriting occurs."	"No equivalent to R `suffixes` option. Can use RENAME data set option to rename problematic variable when read in. Seems like good practice to run with option `MSGLEVEL=I`. This will generate an informational message if overwriting occurs."	""	""	""	""	"base"	"base and dplyr"	"base and dplyr"	"base: <font class=dscode>suffixes</font> parameter of merge controls what suffix to add if needed, default is <font class=dscode>c(&quot;.x&quot;,&quot;.y&quot;)</font>.<br>dplyr: <font class=dscode>suffix</font> parameter"	"base: `suffixes` parameter of merge controls what suffix to add if needed, default is `c("".x"","".y"")`.
dplyr: `suffix` parameter"	"If this isn&apos;t possible (e.g., a variable already exists), then error."	"If this isn't possible (e.g., a variable already exists), then error."	"base"	""	""	"R_include SAS_include R_base SAS_base"
"DS285804"	"Print an object."	"Print an object."	""	"Print a data set.<br><br>Print a macro variable."	"Print a data set.

Print a macro variable."	"<font class=dscode>PROC PRINT DATA=set1;</font><br><font class=dscode>  WHERE sex=&quot;&amp;SEX&quot;;</font><br><font class=dscode>  VAR patid age wt1-wt10;</font><br><font class=dscode>  TITLE &quot;set1 (where sex=&amp;SEX)&quot;</font>;<br><font class=dscode>RUN;</font><br><br><font class=dscode>%PUT &amp;MYMACROVAR;</font><br><br>The above prints a data set and also uses a macro variable in the TITLE statement. Data sets and macro variables are the most commonly printed &apos;objects&apos;. I would have to think about what else exists and can be printed. Indexes can be printed, but this is rarely done."	"`PROC PRINT DATA=set1;`
`  WHERE sex=""&SEX"";`
`  VAR patid age wt1-wt10;`
`  TITLE ""set1 (where sex=&SEX)""`;
`RUN;`

`%PUT &MYMACROVAR;`

The above prints a data set and also uses a macro variable in the TITLE statement. Data sets and macro variables are the most commonly printed 'objects'. I would have to think about what else exists and can be printed. Indexes can be printed, but this is rarely done."	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS287770"	"What is the behavior when (a) and (b) both occur: (a) a data step has a SET statement in which a data set is read in with a WHERE data set option, and (b) the data step has a WHERE statement?"	"What is the behavior when (a) and (b) both occur: (a) a data step has a SET statement in which a data set is read in with a WHERE data set option, and (b) the data step has a WHERE statement?"	"Y"	""	""	"The data set option is used. The WHERE statement in the data step is not applied to this data set, but it is applied to other data sets without a WHERE data set option."	"The data set option is used. The WHERE statement in the data step is not applied to this data set, but it is applied to other data sets without a WHERE data set option."	""	""	""	""	"base"	""	""	""	""	""	""	"XS"	""	""	"SAS_include R_XS SAS_base"
"DS296169"	"How does negative indexing work when selecting vectors"	"How does negative indexing work when selecting vectors"	"Y"	""	""	""	""	""	""	""	""	"XX"	"(base)<br>Can this be used with numbers, character vectors, and logical vectors?"	"(base)
Can this be used with numbers, character vectors, and logical vectors?"	"Negative integer: exclude the identified row. Can only be combined with other negative values.<br><br>with character vector: gives error<br><br>with logical vector: don&apos;t use, behavior undesired (it coerces TRUE/FALSE to 0/1 and then negates, so then the first row/col is dropped if anything was TRUE)"	"Negative integer: exclude the identified row. Can only be combined with other negative values.

with character vector: gives error

with logical vector: don't use, behavior undesired (it coerces TRUE/FALSE to 0/1 and then negates, so then the first row/col is dropped if anything was TRUE)"	""	""	"base"	""	""	"R_include R_base SAS_XX"
"DS296779"	"Give function useful for centering the margins of a matrix (i.e., centering the rows or centering the columns). What&apos;s a limitation?"	"Give function useful for centering the margins of a matrix (i.e., centering the rows or centering the columns). What's a limitation?"	"Y"	""	""	""	""	""	""	""	""	"XX"	""	""	"<font class=dscode>sweep(a, MARGIN, STATS, FUN = &quot;-&quot;)</font> (a few other args)<br><br>If <font class=dscode>a</font> is a matrix, then <font class=dscode>MARGIN</font> should = 1, and <font class=dscode>STATS</font> should be a vector of length equal to the number of rows (e.g., row means). Similarly for <font class=dscode>MARGIN</font> = 2.<br><br>You have to be careful about vector recycling, e.g,. if the number of rows in a multiple of the number of columns, you could accidentally sweep out column statistics from the rows if you specify the wrong <font class=dscode>MARGIN</font>."	"`sweep(a, MARGIN, STATS, FUN = ""-"")` (a few other args)

If `a` is a matrix, then `MARGIN` should = 1, and `STATS` should be a vector of length equal to the number of rows (e.g., row means). Similarly for `MARGIN` = 2.

You have to be careful about vector recycling, e.g,. if the number of rows in a multiple of the number of columns, you could accidentally sweep out column statistics from the rows if you specify the wrong `MARGIN`."	""	""	"base"	""	""	"R_include R_base SAS_XX"
"DS302406"	"Apply the same function to all columns in a data set."	"Apply the same function to all columns in a data set."	"Y"	"Give example of converting missing values on all numeric variables on data set to 0."	"Give example of converting missing values on all numeric variables on data set to 0."	"If function is a statistical function supported by PROC SUMMARY, can use that with the AUTONAME option on the OUTPUT statement.<br><br>Otherwise, the ARRAY statement is useful. However, if a new output variable is needed for each input variable, probably need to do some macro processing to get output array name.<br><br><font class=dscode>DATA set2;</font><br><font class=dscode>  SET set1;</font><br><font class=dscode>  ARRAY allvars _numeric_;</font><br><font class=dscode>  DO OVER allvars;</font><br><font class=dscode>    IF MISSING(allvars) THEN allvars=0;</font><br><font class=dscode>  END;</font><br><font class=dscode>RUN;</font>"	"If function is a statistical function supported by PROC SUMMARY, can use that with the AUTONAME option on the OUTPUT statement.

Otherwise, the ARRAY statement is useful. However, if a new output variable is needed for each input variable, probably need to do some macro processing to get output array name.

`DATA set2;`
`  SET set1;`
`  ARRAY allvars _numeric_;`
`  DO OVER allvars;`
`    IF MISSING(allvars) THEN allvars=0;`
`  END;`
`RUN;`"	""	""	""	""	"base"	""	""	""	""	""	""	"tidy"	""	""	"SAS_include R_tidy SAS_base"
"DS306664"	"Insert arbitrary text into ODS output."	"Insert arbitrary text into ODS output."	"Y"	""	""	"<font class=dscode>ODS TEXT=&apos;string&apos;;</font>"	"`ODS TEXT='string';`"	""	""	""	""	"ods"	""	""	""	""	""	""	"XS"	""	""	"SAS_include R_XS SAS_ods"
"DS307108"	"How do functions exit?"	"How do functions exit?"	""	"How is a value returned from a macro?"	"How is a value returned from a macro?"	"Macros don&apos;t return values, they generate code that will (eventually) be run by the SAS® language compiler.<br><br>For some simpler macros, it may be possible to do all the processing in the macro language and then dereference the macro variable.<br><br><font class=dscode>%macro getobs(dsname);</font><br><font class=dscode>%local _nobs;</font><br><font class=dscode>%let _nobs = %sysfunc(...); /* call whatever sysfunc to return the observations in the data set */</font><br><font class=dscode>  &amp;_NOBS</font><br><font class=dscode>%mend getobs;</font><br><br>In this case, within a data step, one can do: <font class=dscode> n_ds1 = %getobs(&apos;ds1&apos;);</font> which resolves to, say, <font class=dscode>n_ds1 = 100;</font><br><br>For more complicated macros that required data step or PROC calls within the macro, one would have to store the results in a macro variable or data set that can then be accessed by the calling environment. See also: PROC FCMP and the RUN_MACRO statement."	"Macros don't return values, they generate code that will (eventually) be run by the SAS® language compiler.

For some simpler macros, it may be possible to do all the processing in the macro language and then dereference the macro variable.

`%macro getobs(dsname);`
`%local _nobs;`
`%let _nobs = %sysfunc(...); /* call whatever sysfunc to return the observations in the data set */`
`  &_NOBS`
`%mend getobs;`

In this case, within a data step, one can do: ` n_ds1 = %getobs('ds1');` which resolves to, say, `n_ds1 = 100;`

For more complicated macros that required data step or PROC calls within the macro, one would have to store the results in a macro variable or data set that can then be accessed by the calling environment. See also: PROC FCMP and the RUN_MACRO statement."	""	""	""	""	"macro"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_macro"
"DS311679"	"Select variables in union or intersection of two sets."	"Select variables in union or intersection of two sets."	"Y"	""	""	""	""	""	""	""	""	"base_internal"	"(tidy-select)"	"(tidy-select)"	"Use <font class=dscode>&amp;</font> and <font class=dscode>|</font> to take intersection or union of two sets of variables"	"Use `&` and `|` to take intersection or union of two sets of variables"	""	""	"tidy"	""	""	"R_include R_tidy SAS_base_internal"
"DS312669"	"Get indices in logical vector or array that are true."	"Get indices in logical vector or array that are true."	"Y"	""	""	""	""	""	""	""	""	"XX"	""	""	"<font class=dscode>which(x) # treats array as vector</font><br><font class=dscode>which(x, arr.ind=TRUE)</font>"	"`which(x) # treats array as vector`
`which(x, arr.ind=TRUE)`"	""	""	"base"	""	""	"R_include R_base SAS_XX"
"DS319883"	"What is the result when <font class=dscode>NA</font> (e.g., of a number) is converted to a character string?"	"What is the result when `NA` (e.g., of a number) is converted to a character string?"	"Y"	""	""	""	""	""	""	""	""	"XX"	""	""	"Converted to <font class=dscode>NA_character_</font>. Note that this still prints as <font class=dscode>NA</font>. In particular, it is not coerced to the string <font class=dscode>&quot;NA&quot;</font>."	"Converted to `NA_character_`. Note that this still prints as `NA`. In particular, it is not coerced to the string `""NA""`."	""	""	"base"	""	""	"R_include R_base SAS_XX"
"DS323460"	"Re-order columns in a data set."	"Re-order columns in a data set."	"Y"	""	""	"Use PROC SQL, might want to write a macro to do this.<br><br>PROC DATASETS won&apos;t help here."	"Use PROC SQL, might want to write a macro to do this.

PROC DATASETS won't help here."	""	""	""	""	"base"	""	""	""	""	""	""	"tidy"	""	""	"SAS_include R_tidy SAS_base"
"DS333318"	"What is the syntax of <font class=dscode>switch</font>?"	"What is the syntax of `switch`?"	""	"Give syntax that matches dplyr <font class=dscode>case_match</font> and similar syntax that matches dplyr <font class=dscode>case_when</font>."	"Give syntax that matches dplyr `case_match` and similar syntax that matches dplyr `case_when`."	"<font class=dscode>SELECT (expr); WHEN (expr1) ... OTHERWISE ...</font><br>In the above case, <font class=dscode>expr</font> is evaluated and the first matching <font class=dscode>WHEN</font> expr is used. Note that <font class=dscode>expr1</font> could also be a comma-delimited list <font class=dscode>expr1,expr2,expr3</font><br><br><font class=dscode>SELECT; WHEN (expr1) ... OTHERWISE ...</font><br>In the second case, <font class=dscode>expr1</font> is evaluated and determined whether it&apos;s true or false. The first true WHEN is used."	"`SELECT (expr); WHEN (expr1) ... OTHERWISE ...`
In the above case, `expr` is evaluated and the first matching `WHEN` expr is used. Note that `expr1` could also be a comma-delimited list `expr1,expr2,expr3`

`SELECT; WHEN (expr1) ... OTHERWISE ...`
In the second case, `expr1` is evaluated and determined whether it's true or false. The first true WHEN is used."	""	""	""	""	"base"	""	""	""	""	""	""	"base"	""	""	"SAS_include R_base SAS_base"
"DS336101"	"How to compare two non-integer values, where one or more was created using floating point calculations."	"How to compare two non-integer values, where one or more was created using floating point calculations."	"Y"	""	""	"Just check for a sufficiently small difference with <font class=dscode>ABS()</font>.<br><br>Specific procedures might also allow an option to be set, like the FUZZ option in <font class=dscode>PROC COMPARE</font>."	"Just check for a sufficiently small difference with `ABS()`.

Specific procedures might also allow an option to be set, like the FUZZ option in `PROC COMPARE`."	""	""	""	""	"base"	"base and dplyr"	"base and dplyr"	"Use <font class=dscode>dplyr::near</font>. Or just use <font class=dscode>abs()</font> yourself to see if the absolute value of the difference is less than some tolerance.<br><br><font class=dscode>(sqrt(2) ^ 2 == 2)  # FALSE</font><br><font class=dscode>dplyr::near(sqrt(2) ^2, 2)  # TRUE</font>"	"Use `dplyr::near`. Or just use `abs()` yourself to see if the absolute value of the difference is less than some tolerance.

`(sqrt(2) ^ 2 == 2)  # FALSE`
`dplyr::near(sqrt(2) ^2, 2)  # TRUE`"	""	""	"base"	""	""	"R_include SAS_include R_base SAS_base"
"DS341657"	"Change the resolution of graphics output."	"Change the resolution of graphics output."	"Y"	"(ODS Statistical Graphics)"	"(ODS Statistical Graphics)"	"<font class=dscode>ODS LISTING  / IMAGE_DPI=200;</font><br><br>This is specified with the ODS destination so different destinations can use different resolutions, if desired."	"`ODS LISTING  / IMAGE_DPI=200;`

This is specified with the ODS destination so different destinations can use different resolutions, if desired."	""	""	""	""	"ods"	"Assume png format."	"Assume png format."	"<font class=dscode>png(filename, res=300)</font>"	"`png(filename, res=300)`"	""	""	"plot"	""	""	"R_include SAS_include R_plot SAS_ods"
"DS348952"	"Truncate a string."	"Truncate a string."	"Y"	"Give 2 ways, one with a function, and one without.<br><br>Use a length of 10 in the examples."	"Give 2 ways, one with a function, and one without.

Use a length of 10 in the examples."	"<font class=dscode>SUBSTR(x, 1, 10)</font><br><br><font class=dscode>PUT(x, $10.)</font>"	"`SUBSTR(x, 1, 10)`

`PUT(x, $10.)`"	""	""	""	""	"base"	""	""	""	""	""	""	"tidy"	""	""	"SAS_include R_tidy SAS_base"
